PassengerId,Age,SibSp,Parch,Fare,Pclass,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived_0,Survived_1
892,0.45272319662402744,0.0,0.0,0.015281580671177828,0.0,False,True,False,True,False,True,False
893,0.6175656072794409,1.0,0.0,0.013663090060062943,0.0,True,False,False,False,True,False,True
894,0.815376500065937,0.0,0.0,0.018908740708122825,1.0,False,True,False,True,False,True,False
895,0.3538177502307794,0.0,0.0,0.016908073949327893,0.0,False,True,False,False,True,True,False
896,0.287880785968614,1.0,1.0,0.023983602730431916,0.0,True,False,False,False,True,False,True
897,0.18238164314914942,0.0,0.0,0.01800600082915438,0.0,False,True,False,False,True,True,False
898,0.3933799287880786,0.0,0.0,0.014891206669461744,0.0,True,False,False,True,False,False,True
899,0.34063035737834635,1.0,1.0,0.056604230248832196,1.0,False,True,False,False,True,True,False
900,0.23513121455888172,0.0,0.0,0.014110458666029575,0.0,True,False,True,False,False,False,True
901,0.27469339311618096,2.0,0.0,0.04713766070721715,0.0,False,True,False,False,True,True,False
902,0.32118032660776297,0.0,0.0,0.015411575213749286,0.0,False,True,False,False,True,True,False
903,0.6043782144270078,0.0,0.0,0.050748620223090936,2.0,False,True,False,False,True,True,False
904,0.3010681788210471,1.0,0.0,0.16057390443488287,2.0,True,False,False,False,True,False,True
905,0.8285638929183701,1.0,0.0,0.050748620223090936,1.0,False,True,False,False,True,True,False
906,0.6175656072794409,1.0,0.0,0.11940564777490723,2.0,True,False,False,False,True,False,True
907,0.31425557167348017,1.0,0.0,0.05410739813385612,1.0,True,False,True,False,False,False,True
908,0.459316893050244,0.0,0.0,0.024105594605968193,1.0,False,True,False,True,False,True,False
909,0.27469339311618096,0.0,0.0,0.014102260811993537,0.0,False,True,True,False,False,True,False
910,0.3538177502307794,1.0,0.0,0.015468569817999833,0.0,True,False,False,False,True,False,True
911,0.5911908215745747,0.0,0.0,0.014102260811993537,0.0,True,False,True,False,False,False,True
912,0.7230647500989055,1.0,0.0,0.11594107850967697,2.0,False,True,True,False,False,True,False
913,0.11644467888698405,0.0,1.0,0.0061889894232067975,0.0,False,True,False,False,True,True,False
